EmpID,FirstName,LastName,StartDate,ExitDate,EmployeeStatus,EmployeeType,EmployeeClassificationType,DepartmentType,DOB,JobFunctionDescription,GenderCode,Education,Age,Experience,Salary,Attrition
3427,Uriah,Bridges,2019+AC0-09+AC0-20,,Active,Contract,Temporary,Production       ,1969+AC0-10+AC0-07,Accounting,Female,High School,55,5,33500,No
3428,Paula,Small,2023+AC0-02+AC0-11,,Active,Contract,Part+AC0-Time,Production       ,1965+AC0-08+AC0-30,Labor,Male,Master's,59,2,37500,No
3429,Edward,Buck,2018+AC0-12+AC0-10,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1991+AC0-10+AC0-06,Assistant,Male,High School,33,6,32000,No
3430,Michael,Riordan,2021+AC0-06+AC0-21,,Active,Contract,Full+AC0-Time,Sales,1998+AC0-04+AC0-04,Clerk,Male,Master's,27,4,45000,No
3431,Jasmine,Onque,2019+AC0-06+AC0-29,,Active,Contract,Temporary,Sales,1969+AC0-08+AC0-29,Laborer,Female,Master's,55,6,49500,No
3432,Maruk,Fraval,2020+AC0-01+AC0-17,,Active,Contract,Full+AC0-Time,Sales,1949+AC0-04+AC0-03,Driver,Male,High School,76,5,27500,No
3433,Latia,Costa,2022+AC0-04+AC0-06,2023+AC0-07+AC0-03,Active,Full+AC0-Time,Temporary,Sales,1942+AC0-07+AC0-01,Technician,Female,Bachelor's,83,3,29400,Yes
3434,Sharlene,Terry,2020+AC0-11+AC0-06,2023+AC0-01+AC0-29,Active,Contract,Full+AC0-Time,Sales,1957+AC0-03+AC0-07,Engineer,Female,High School,68,4,34000,Yes
3435,Jac,McKinzie,2018+AC0-08+AC0-18,,Active,Contract,Part+AC0-Time,Sales,1974+AC0-05+AC0-15,Executive Assistant,Male,Bachelor's,51,6,38400,No
3436,Joseph,Martins,2022+AC0-01+AC0-21,2023+AC0-06+AC0-29,Active,Part+AC0-Time,Temporary,Sales,1949+AC0-11+AC0-11,Engineer,Male,PhD,75,3,58500,Yes
3437,Myriam,Givens,2023+AC0-08+AC0-04,,Active,Contract,Temporary,Sales,1964+AC0-01+AC0-26,Technician,Female,PhD,61,2,41400,No
3438,Dheepa,Nguyen,2018+AC0-08+AC0-10,2019+AC0-11+AC0-04,Active,Full+AC0-Time,Temporary,Sales,1948+AC0-04+AC0-06,Technician,Female,High School,77,6,29000,Yes
3439,Bartholemew,Khemmich,2022+AC0-05+AC0-25,2022+AC0-11+AC0-27,Active,Full+AC0-Time,Temporary,Sales,1981+AC0-11+AC0-24,Splicer,Male,Bachelor's,43,3,29400,Yes
3440,Xana,Potts,2019+AC0-12+AC0-05,2023+AC0-02+AC0-17,Active,Contract,Full+AC0-Time,Sales,1951+AC0-11+AC0-06,Controller,Female,Bachelor's,73,5,33000,Yes
3441,Prater,Jeremy,2019+AC0-04+AC0-28,,Active,Part+AC0-Time,Part+AC0-Time,Sales,1989+AC0-11+AC0-21,Lineman,Male,PhD,35,6,52200,No
3442,Kaylah,Moon,2019+AC0-07+AC0-09,2022+AC0-06+AC0-16,Active,Full+AC0-Time,Full+AC0-Time,IT/IS,1952+AC0-11+AC0-24,Laborer,Male,PhD,72,6,59400,Yes
3443,Kristen,Tate,2021+AC0-04+AC0-05,2023+AC0-05+AC0-12,Active,Full+AC0-Time,Part+AC0-Time,IT/IS,1994+AC0-04+AC0-08,Coordinator,Male,High School,31,4,26000,Yes
3444,Bobby,Rodgers,2021+AC0-11+AC0-28,2022+AC0-02+AC0-04,Active,Contract,Part+AC0-Time,Sales,1983+AC0-11+AC0-15,Director,Male,High School,41,3,24500,Yes
